id,created_at,api_key_id,user_agent,method,endpoint,response_status
67a57b48-d2cc-4efc-a51e-5d67960c6726,2026-02-19 01:32:09.162654+00,27fef79d-0444-4df3-8f1a-78d7700464cf,python-requests/2.32.5,GET,/emails/0,401
4d3eac9f-9ef4-444a-bde7-60dae0973637,2026-02-19 01:32:16.533067+00,27fef79d-0444-4df3-8f1a-78d7700464cf,python-requests/2.32.5,GET,/emails/0,401
45cfaac8-ca1c-48cf-925d-9c272c846d5c,2026-02-19 01:34:17.068885+00,27fef79d-0444-4df3-8f1a-78d7700464cf,python-requests/2.32.5,GET,/emails/0,401
6b22c181-5282-40d8-bd40-4cb2a15962e1,2026-02-19 01:36:22.179953+00,27fef79d-0444-4df3-8f1a-78d7700464cf,python-requests/2.32.5,GET,/emails/0,401
5ee9957d-22c3-4b0f-bfa5-e4d9a19b9deb,2026-02-19 01:38:13.802478+00,27fef79d-0444-4df3-8f1a-78d7700464cf,python-requests/2.32.5,GET,/emails/0,401
4a1140ac-1b6e-46fc-be3c-decae58ba1bb,2026-02-19 01:48:15.011197+00,27fef79d-0444-4df3-8f1a-78d7700464cf,python-requests/2.32.5,GET,/emails/0,401
81551f9c-f7fe-4fdb-bf6f-470d1fdc749e,2026-02-19 02:08:00.747526+00,27fef79d-0444-4df3-8f1a-78d7700464cf,python-requests/2.32.5,GET,/emails/0,401
f2b525b5-75ca-4a28-838b-c67c8761c9c0,2026-02-19 02:28:19.918173+00,27fef79d-0444-4df3-8f1a-78d7700464cf,python-requests/2.32.5,GET,/emails/0,401
7532befe-2a21-4a38-917e-3d3cc014f674,2026-02-19 03:28:16.466903+00,27fef79d-0444-4df3-8f1a-78d7700464cf,python-requests/2.32.5,GET,/emails/0,401
70ba6c8f-9e32-4791-8f8c-c119e666700b,2026-02-19 05:28:14.489556+00,27fef79d-0444-4df3-8f1a-78d7700464cf,python-requests/2.32.5,GET,/emails/0,401
aaf1a7bd-6f26-499c-8825-f1129d170c07,2026-02-19 09:28:03.957539+00,27fef79d-0444-4df3-8f1a-78d7700464cf,python-requests/2.32.5,GET,/emails/0,401
4f074936-ff1f-42a9-83b9-7769afa4c6e9,2026-02-19 17:28:13.278327+00,27fef79d-0444-4df3-8f1a-78d7700464cf,python-requests/2.32.5,GET,/emails/0,401
6ce5755c-68a2-4111-8bc0-69e553d69c41,2026-02-20 04:49:56.354553+00,27fef79d-0444-4df3-8f1a-78d7700464cf,python-requests/2.32.5,GET,/emails/0,401
11fc7d71-c688-4014-b267-4bbd9ed1f5cc,2026-02-20 04:49:56.809287+00,27fef79d-0444-4df3-8f1a-78d7700464cf,python-requests/2.32.5,GET,/emails/0,401
2ed2fa8d-e2df-4c6a-ab84-927b44bbe370,2026-02-20 09:28:16.557391+00,27fef79d-0444-4df3-8f1a-78d7700464cf,python-requests/2.32.5,GET,/emails/0,401
